CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
3434	4855	-31.990	0.000	0.7455	0.5736	1
3434	5071	52.067	0.000	0.7494	0.7131	1
3434	5271	-0.000	0.000	0.9183	0.7443	1
3434	5479	52.068	0.000	0.7174	0.6728	1
3434	5546	-59.037	0.000	0.7562	0.6470	1
3435	3438	-49.020	0.000	0.7003	0.3780	1
3435	3940	-5.953	0.000	0.7170	0.4997	1
3435	4315	-58.005	0.000	0.7115	0.5235	1
3435	4389	-172.016	0.000	0.7627	0.5681	1
3435	4399	-6.937	0.000	0.7156	0.4414	1
3435	4572	-104.047	0.000	0.8389	0.5320	1
3435	4924	-19.955	0.000	0.7180	0.4395	1
3435	5178	-12.000	0.000	0.8351	0.6565	1
3438	3493	-162.105	0.000	0.7025	0.6370	1
3438	3502	-119.996	0.000	0.7350	0.5043	1
3438	3528	27.995	0.000	0.7525	0.8050	1
3438	3564	43.031	0.000	0.7628	0.5717	1
3438	3584	-121.928	0.000	0.7594	0.5417	1
3438	3614	-197.090	0.000	0.7891	0.6756	1
3438	3626	-76.068	0.000	0.7619	0.6974	1
3438	3631	58.078	0.000	0.7785	0.4766	1
3438	3648	-96.094	0.000	0.7080	0.5729	1
3438	3700	-32.026	0.000	0.7285	0.6930	1
3438	3766	-87.958	0.000	0.8174	0.5956	1
3438	3852	-87.958	0.000	0.7996	0.4996	1
3438	3866	-87.958	0.000	0.8067	0.5935	1
3438	3940	43.067	0.000	0.7308	0.4352	1
3438	3950	-134.110	0.000	0.7242	0.5738	1
3438	3964	-93.970	0.000	0.7412	0.5222	1
3438	3967	-52.031	0.000	0.7514	0.5017	1
3438	3973	-45.094	0.000	0.7363	0.6504	1
3438	4004	15.995	0.000	0.7453	0.6180	1
3438	4078	-283.055	0.000	0.7130	0.4300	1
3438	4103	-122.110	0.000	0.7741	0.5712	1
3438	4117	-22.057	0.000	0.7391	0.7316	1
3438	4172	-76.068	0.000	0.7232	0.6112	1
3438	4191	-168.151	0.000	0.7573	0.5958	1
3438	4225	-50.016	0.000	0.7591	0.6871	1
3438	4229	-52.031	0.000	0.8310	0.6924	1
3438	4262	-130.026	0.000	0.7038	0.3317	1
3438	4286	-48.000	0.000	0.7764	0.5552	1
3438	4323	-82.042	0.000	0.7717	0.4739	1
3438	4389	-122.996	0.000	0.7914	0.4321	1
3438	4399	42.083	0.000	0.7802	0.5867	1
3438	4403	-105.933	0.000	0.7117	0.4549	1
3438	4456	-122.110	0.000	0.7375	0.6079	1
3438	4471	-28.990	0.000	0.8303	0.4938	1
3438	4507	35.062	0.000	0.7149	0.3730	1
3438	4510	-96.094	0.000	0.7183	0.5737	1
3438	4536	-82.042	0.000	0.7708	0.5376	1
3438	4547	18.083	0.000	0.8051	0.5662	1
3438	4548	-75.970	0.000	0.8071	0.4721	1
3438	4597	-38.052	0.000	0.7048	0.6845	1
3438	4605	18.083	0.000	0.8091	0.5631	1
3438	4671	18.083	0.000	0.8116	0.5883	1
3438	4678	-20.042	0.000	0.7086	0.5977	1
3438	4771	-140.120	0.000	0.7319	0.6201	1
3438	4780	-52.031	0.000	0.7185	0.5340	1
3438	4827	-50.016	0.000	0.7996	0.6835	1
3438	4838	34.075	0.000	0.7675	0.6328	1
3438	4878	-80.099	0.000	0.7528	0.5933	1
3438	4889	-110.073	0.000	0.7045	0.5150	1
3438	4895	29.052	0.000	0.7902	0.5743	1
3438	4897	-38.052	0.000	0.7319	0.6966	1
3438	4924	29.066	0.000	0.7411	0.3550	1
3438	4963	-87.957	0.000	0.7724	0.4772	1
3438	4975	-220.219	0.000	0.7733	0.5953	1
3438	5049	1.979	0.000	0.7955	0.7201	1
3438	5053	44.063	0.000	0.7515	0.4827	1
3438	5071	27.995	0.000	0.7767	0.8067	1
3438	5090	44.062	0.000	0.7326	0.4355	1
3438	5124	4.068	0.000	0.8504	0.7872	1
3438	5174	27.072	0.000	0.7944	0.6190	1
3438	5178	37.020	0.000	0.7521	0.4955	1
