CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
35	5410	28.032	0.000	0.9180	0.7206	1
35	5440	174.090	0.000	0.7090	0.5936	1
35	5452	-97.999	0.000	0.7158	0.5722	1
35	5485	105.116	0.000	0.7456	0.5604	1
35	5606	105.116	0.000	0.8177	0.6794	1
37	758	45.058	0.000	0.7152	0.3692	1
37	3523	63.068	0.000	0.7183	0.5267	1
39	5509	86.000	0.000	0.7894	0.7395	1
40	2508	-11.964	0.000	0.8195	0.4366	1
40	2713	66.047	0.000	0.9110	0.6219	1
40	2800	-11.985	0.000	0.8579	0.7283	1
40	3294	16.919	0.000	0.7394	0.2197	1
43	90	15.995	0.000	0.9622	0.7900	1
43	1635	26.975	0.000	0.7018	0.4431	1
43	2424	14.016	0.000	0.9280	0.8086	1
43	2667	-14.016	0.000	0.9501	0.8711	1
43	2705	0.000	0.000	0.9714	0.8650	1
43	2755	56.038	0.000	0.7440	0.4675	1
43	3117	-106.015	0.000	0.7164	0.5724	1
43	3272	-1.020	0.000	0.7466	0.6001	1
43	3379	56.038	0.000	0.7824	0.5827	1
43	4437	56.038	0.000	0.7824	0.5827	1
43	5029	-14.016	0.000	0.9288	0.8430	1
43	5196	56.038	0.000	0.7824	0.5827	1
43	5308	7.053	0.000	0.7171	0.4381	1
43	5601	15.995	0.000	0.9614	0.8120	1
43	5620	56.038	0.000	0.7879	0.7034	1
44	128	35.937	0.000	0.7024	0.5229	1
44	187	3.995	0.000	0.8363	0.4735	1
44	295	93.942	0.000	0.8065	0.5437	1
44	318	58.974	0.000	0.7314	0.5165	1
44	371	178.047	0.000	0.8703	0.6723	1
44	632	135.989	0.000	0.7548	0.5610	1
44	635	135.005	0.000	0.8717	0.5759	1
44	787	196.058	0.000	0.7237	0.5816	1
44	836	14.016	0.000	0.8257	0.5165	1
44	947	178.047	0.000	0.8628	0.6264	1
44	954	28.963	0.000	0.8445	0.5748	1
44	1223	-117.058	0.000	0.7622	0.4565	1
44	1241	58.974	0.000	0.7551	0.5160	1
44	1255	-216.297	0.000	0.8121	0.5160	1
44	1337	-183.087	0.000	0.7359	0.5148	1
44	1506	28.964	0.000	0.8458	0.5165	1
44	1578	-117.057	0.000	0.7512	0.4586	1
44	1675	196.058	0.000	0.7131	0.5561	1
44	1761	42.979	0.000	0.8336	0.5165	1
44	1801	-1.032	0.000	0.7128	0.5380	1
44	2230	60.990	0.000	0.8385	0.5165	1
44	2294	91.964	0.000	0.7456	0.4965	1
44	2325	3.995	0.000	0.8665	0.6108	1
44	2356	34.005	0.000	0.7809	0.4849	1
44	2395	-34.962	0.000	0.7196	0.4739	1
44	2558	-42.026	0.000	0.7476	0.5109	1
44	2769	196.058	0.000	0.7234	0.5561	1
44	2974	91.963	0.000	0.7456	0.4965	1
44	3021	3.995	0.000	0.8611	0.6380	1
44	3102	44.995	0.000	0.8394	0.5459	1
44	3201	34.005	0.000	0.8512	0.5459	1
44	3207	14.018	0.000	0.8440	0.6528	1
44	3210	93.942	0.000	0.8013	0.5437	1
44	3242	135.005	0.000	0.8404	0.5759	1
44	3495	-158.036	0.000	0.8199	0.5533	1
44	3519	28.964	0.000	0.8726	0.6144	1
44	3548	34.005	0.000	0.8145	0.5165	1
44	3602	19.963	0.000	0.8535	0.5165	1
44	3613	-17.027	0.000	0.8329	0.5139	1
44	3774	-68.090	0.000	0.7741	0.5426	1
44	3782	135.989	0.000	0.7548	0.5610	1
44	3793	-101.047	0.000	0.8506	0.5117	1
44	3818	-36.978	0.000	0.7699	0.5165	1
44	3855	58.974	0.000	0.7446	0.5437	1
44	3899	-50.994	0.000	0.7864	0.5165	1
44	3995	58.974	0.000	0.7192	0.4959	1
44	4032	28.964	0.000	0.8360	0.5459	1
44	4203	196.058	0.000	0.7124	0.5509	1
44	4858	15.995	0.000	0.8074	0.5114	1
44	4908	-27.048	0.000	0.7275	0.5139	1
44	5113	-119.073	0.000	0.7177	0.5117	1
44	5136	196.058	0.000	0.7268	0.6153	1
44	5189	-1.032	0.000	0.7013	0.3991	1
44	5298	107.958	0.000	0.7713	0.5258	1
44	5369	196.058	0.000	0.7237	0.5816	1
44	5461	44.995	0.000	0.8517	0.6429	1
44	5602	107.958	0.000	0.7864	0.5713	1
44	5610	-27.047	0.000	0.7748	0.6001	1
45	371	38.088	0.000	0.7024	0.5036	1
45	2882	18.057	0.000	0.7742	0.3701	1
45	2963	52.104	0.000	0.8082	0.5291	1
45	3622	52.104	0.000	0.8082	0.5291	1
45	3658	-27.995	0.000	0.7676	0.4417	1
